HHID,State,District,Avg_Education,Education_Intensity,Avg_Age,Age_Category,Household_Size_Calc,Dependency_Ratio
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
